项目管理中心策划设计业务收入台账,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同基本信息,,,,,,,,,,,,,各部门合同额,,,,,,,,,,,,,,,收款条件,,,,节点执行情况,,,,,,,,,,,业务部门履约进展,,,累计,,,,,,各部门收入分配,,,,,,,,,,,,,,各部门回款分配,,,,,,,,,,,,,,法律合规,,,,开始时间,45323.00 ,,,,,,,,,
序号,区域,签订日期,项目名称,项目编号, ,合同编号,类型,甲方合同编号,"甲方单位
名称",总建面,单价描述,合同总金额,客研,创作中心,创作一室,创作二室,创作三室,工程中心,"工程精装
工作室",咨询,BIM中心,"BIM智慧
建造工作室",TOD中心,精装中心,D e si g n R,项目管理,外委归属部门,次序,合同付款节点,比例,合同节点金额,收入金额,形式,收入日期,产值确认金额,产值确认日期,实际开票金额,开票日期,回款金额,回款时间,应收账款,备注,设计进度,"商务
沟通情况",成果确认单确认日期,累计收入,累计开票金额,累计回款金额,剩余收入,已确认收入未开票,已开票未回款,客研,创作中心,创作一室,创作二室,创作三室,工程,"工程精装
工作室",咨询,BIM中心,"BIM智慧
建造工作室",TOD中心,精装中心,DesignR,项目管理,客研,创作中心,创作一室,创作二室,创作三室,工程,"工程精装
工作室",咨询,BIM中心,"BIM智慧
建造工作室",TOD中心,精装中心,DesignR,项目管理,形成方式,合同审批方式,,,结束时间,45351.00 ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.00 ,项目机电安装、内外装均完成后七日内,0.02 ,257853.38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00 ,项目竣工验收完成后七日内,0.02 ,257853.38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00 ,项目出正负零后,0.02 ,14734478.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00 ,项目结构封顶后七日内,0.02 ,14734478.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00 ,项目机电安装、内外装均完成后七日内,0.02 ,14734478.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00 ,项目竣工验收完成后七日内,0.02 ,14734478.72 ,0.00 ,,,,,,,0.00 ,,0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,创投,43617.00 ,平谷夏各庄项目（完成）,无,北京市平谷区夏各庄镇PG11-0100-6103 等地块R2二类居住用地项目建设工程设计优化咨询与BIM业务服务合同,CRCCRE-SJ-ZX-2019-007,咨询+BIM,,北京润谷置业有限公司,178000.00 ,咨询：5元/平米，BIM：3.5元/平米,1513000.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,890000.00 ,623000.00 ,0.00 ,0.00 ,,,0.00 ,,1.00 ,签订合同,0.20 ,302600.00 ,302600.00 ,产值确认单,43800.00 ,302600.00 ,43800.00 ,302600.00 ,43931.00 ,302600.00 ,43943.00 ,0.00 ,,完成,,,1086804.72 ,1086804.72 ,1086804.72 ,426195.28 ,0.00 ,0.00 ,,,,,,,,178000.00 ,124600.00 ,,,,,,,,,,,,,178000.00 ,124600.00 ,,,,,,投标,OA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 ,完成全部优化咨询工作且向甲方提交优化成果（包括但不限于优化后的设计文件、设计咨询意见书、全专业BIM模型、预制构件模型、BIM碰撞检查报告和项目BIM管综优化建议报告等）并经甲方确认认可,0.40 ,605200.00 ,605200.00 ,产值确认单,43800.00 ,605200.00 ,43800.00 ,605200.00 ,44568.00 ,605200.00 ,44579.00 ,0.00 ,铁建银信，22年7月15日到期,,,,,,,,,,,,,,,,,387600.00 ,217600.00 ,,,,,,,,,,,,,387600.00 ,217600.00 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20 ,302600.00 ,179004.72 ,产值确认单,44539.00 ,179004.72 ,44539.00 ,179004.72 ,44568.00 ,179004.72 ,44579.00 ,0.00 ,,,,,,,,,,,,,,,,,,105296.89 ,73707.83 ,,,,,,,,,,,,,105296.89 ,73707.83 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 ,课题在集团公司立项,0.10 ,151300.00 ,0.00 ,,,,,,,0.00 ,,0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00 ,课题形成最终成果文件,0.10 ,151300.00 ,0.00 ,,,,,,,0.00 ,,0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,东北,43532.00 ,"长春西派唐颂一期
（完成）",无,中国铁建西派唐颂项目建筑设计咨询服务合同,CRCCRE-SJ-ZX-2019-002,咨询,,长春创华房地产开发有限公司,130000.00 ,全过程咨询：5元/平米,650000.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,650000.00 ,0.00 ,0.00 ,0.00 ,,,0.00 ,,1.00 ,合同签订后，甲方在提交全部设计资料给乙方后，五个工作日内支付工 程全额设计优化咨询费的20%给乙方。,0.20 ,130000.00 ,130000.00 ,产值确认单,43797.00 ,130000.00 ,43770.00 ,130000.00 ,43770.00 ,130000.00 ,43799.00 ,0.00 ,,完成,,,632304.30 ,632304.30 ,632304.30 ,17695.70 ,0.00 ,0.00 ,,,,,,,,130000.00 ,,,,,,,,,,,,,,130000.00 ,,,,,,,直委,OA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 ,乙方完成施工图阶段的设计咨询工作并经甲方认可，甲方支付工程全额 设计优化咨询费60%给乙方。,0.60 ,390000.00 ,390000.00 ,产值确认单,,390000.00 ,43770.00 ,390000.00 ,43929.00 ,390000.00 ,43948.00 ,0.00 ,,总结报告完成,,,,,,,,,,,,,,,,390000.00 ,,,,,,,,,,,,,,390000.00 ,,,,,,,,,,,,,,,,,,,,,
