项目管理中心策划设计业务收入台账,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同基本信息,,,,,,,,,,,,,各部门合同额,,,,,,,,,,,,,,,收款条件,,,,节点执行情况,,,,,,,,,,,业务部门履约进展,,,累计,,,,,,各部门收入分配,,,,,,,,,,,,,,各部门回款分配,,,,,,,,,,,,,,法律合规,,,,开始时间,45323.00 ,,,,,,,,,
序号,区域,签订日期,项目名称,项目编号, ,合同编号,类型,甲方合同编号,"甲方单位
名称",总建面,单价描述,合同总金额,客研,创作中心,创作一室,创作二室,创作三室,工程中心,"工程精装
工作室",咨询,BIM中心,"BIM智慧
建造工作室",TOD中心,精装中心,D e si g n R,项目管理,外委归属部门,次序,合同付款节点,比例,合同节点金额,收入金额,形式,收入日期,产值确认金额,产值确认日期,实际开票金额,开票日期,回款金额,回款时间,应收账款,备注,设计进度,"商务
沟通情况",成果确认单确认日期,累计收入,累计开票金额,累计回款金额,剩余收入,已确认收入未开票,已开票未回款,客研,创作中心,创作一室,创作二室,创作三室,工程,"工程精装
工作室",咨询,BIM中心,"BIM智慧
建造工作室",TOD中心,精装中心,DesignR,项目管理,客研,创作中心,创作一室,创作二室,创作三室,工程,"工程精装
工作室",咨询,BIM中心,"BIM智慧
建造工作室",TOD中心,精装中心,DesignR,项目管理,形成方式,合同审批方式,,,结束时间,45351.00 ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 ,·,0.20 ,240305.94 ,240305.94 ,产值确认单,45895.00 ,240305.94 ,45895.00 ,240305.94 ,45895.00 ,240305.94 ,45929.00 ,0.00 ,,,,,,,,,,,,,,,,,,,,,,,,240305.94 ,,,,,,,,,,,,,,240305.94 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00 ,精装施工图设计完成经甲方确认后2个月内,0.20 ,240305.94 ,240305.94 ,产值确认单,45895.00 ,240305.94 ,45895.00 ,240305.94 ,45895.00 ,240305.94 ,45929.00 ,0.00 ,,,,,,,,,,,,,,,,,,,,,,,,240305.94 ,,,,,,,,,,,,,,240305.94 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00 ,精装修竣工验收合格并经甲方确认后2个月内,0.20 ,240305.94 ,0.00 ,,,,,,,0.00 ,,0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"中国铁建博悦项目
建设工程设计总包管理服务合同
（BIM部分）",CRCCRE-SJ-XM-2025-009,"设计总包
（自揽BIM）",CRCCRE-HZ-XAJG-XACBAT-QQ-2025-009,西安国际港务区京港房地产开发有限公司,,,306794.98 ,,,,,,,,,154000.00 ,,,,,152794.98 ,,1.00 ,合同签订后2个月内,0.20 ,61359.00 ,61359.00 ,产值确认单,45895.00 ,61359.00 ,45895.00 ,61359.00 ,45895.00 ,61359.00 ,45929.00 ,0.00 ,,,,,,,,,,,,,,,,,,,61359.00 ,,,,,,,,,,,,,,61359.00 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 ,提交地下车库及地下室BIM模型且经过甲方确认后2个月内,0.30 ,92038.49 ,92038.49 ,产值确认单,45895.00 ,92038.49 ,45895.00 ,92038.49 ,45895.00 ,92038.49 ,45929.00 ,0.00 ,,,,,,,,,,,,,,,,,,,92038.49 ,,,,,,,,,,,,,,92038.49 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 ,提交地上BIM建模成果，经甲方审核确认后2个月内,0.20 ,61359.00 ,61359.00 ,预估,46078.00 ,,,,,61359.00 ,46111.00 ,0.00 ,,,,,,,,,,,,,,,,,,61359.00 ,,,,,,,,,,,,,,61359.00 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00 ,乙方根据甲方优化后的施工图纸提交BIM咨询优化报告、完成BIM咨询范围的交底工作且经过甲方确认后2个月内,0.25 ,76698.75 ,76698.75 ,预估,46078.00 ,,,,,76698.75 ,46111.00 ,0.00 ,,,,,,,,,,,,,17228.15 ,,,,,59470.60 ,,,,,,,,,17228.15 ,,,,,59470.60 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00 ,项目竣工验收合格，本合同办理完成结算后2个月内,0.05 ,15339.75 ,0.00 ,,,,,,,0.00 ,,0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"中国铁建博悦项目
建设工程设计总包管理服务合同
（咨询部分）",CRCCRE-SJ-XM-2025-009,"设计总包
（自揽咨询）",CRCCRE-HZ-XAJG-XACBAT-QQ-2025-009,西安国际港务区京港房地产开发有限公司,98397.49 ,,393589.96 ,,,,,,,,393589.96 ,,,,,,,,1.00 ,合同签订且乙方开展设计咨询工作并提供设计咨询优化意见且经甲方确认后2个月内,0.20 ,78717.99 ,78717.99 ,产值确认单,45895.00 ,78717.99 ,45895.00 ,78717.99 ,45895.00 ,78717.99 ,45929.00 ,0.00 ,,,,,,,,,,,,,,,,,,78717.99 ,,,,,,,,,,,,,,78717.99 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 ,本项目取得《建设工程规划许可证》，提交方案至报规阶段设计咨询报告且经甲方确认后2个月内,0.20 ,78717.99 ,78717.99 ,产值确认单,45895.00 ,78717.99 ,45895.00 ,78717.99 ,45895.00 ,78717.99 ,45929.00 ,0.00 ,,,,,,,,,,,,,,,,,,78717.99 ,,,,,,,,,,,,,,78717.99 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 ,本项目取得《施工图审查合格书》，提交施工图阶段设计咨询报告且经甲方确认后2个月内,0.40 ,157435.98 ,157435.98 ,产值确认单,45895.00 ,157435.98 ,45895.00 ,157435.98 ,45895.00 ,157435.98 ,45929.00 ,0.00 ,,,,,,,,,,,,,,,,,,157435.98 ,,,,,,,,,,,,,,157435.98 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00 ,提交最终版设计咨询总结报告且经甲方确认，本项办理完成结算后2个月内,0.20 ,78717.99 ,0.00 ,,,,,,,0.00 ,,0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"中国铁建博悦项目
建设工程设计总包管理服务合同
（精审部分）",CRCCRE-SJ-XM-2025-009,"设计总包
（自揽精审）",CRCCRE-HZ-XAJG-XACBAT-QQ-2025-009,西安国际港务区京港房地产开发有限公司,98397.49 ,,98397.49 ,,,,,,,,98397.49 ,,,,,,,,1.00 ,合同签订且乙方开展精细化审查工作并提供精细化审查意见且经甲方确认后2个月内,0.20 ,19679.50 ,19679.50 ,产值确认单,45895.00 ,19679.50 ,45895.00 ,19679.50 ,45895.00 ,19679.50 ,45929.00 ,0.00 ,,,,,,,,,,,,,,,,,,19679.50 ,,,,,,,,,,,,,,19679.50 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 ,本项目取得《施工图审查合格书》，提交施工图精审报告且经甲方确认2个月内,0.60 ,59038.49 ,59038.49 ,产值确认单,45895.00 ,59038.49 ,45895.00 ,59038.49 ,45895.00 ,59038.49 ,45929.00 ,0.00 ,,,,,,,,,,,,,,,,,,59038.49 ,,,,,,,,,,,,,,59038.49 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 ,提交最终版精细化审查总结报告且经甲方确认，本项办理完成结算后2个月内,0.20 ,19679.50 ,0.00 ,,,,,,,0.00 ,,0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"中国铁建博悦项目
建设工程设计总包管理服务合同
（智能化部分）",CRCCRE-SJ-XM-2025-009,"设计总包
（智能化外委）",CRCCRE-HZ-XAJG-XACBAT-QQ-2025-009,西安国际港务区京港房地产开发有限公司,98397.49 ,,127916.74 ,,,,,,,,,,,,,,127916.74 ,项目管理中心,1.00 ,合同签订，提交智能化设计方案经甲方确认后15个工作日内请款，次月30日前付款,0.20 ,25583.35 ,25583.35 ,产值确认单,45895.00 ,25583.35 ,45895.00 ,25583.35 ,45895.00 ,25583.35 ,45929.00 ,0.00 ,,,,,,,,,,,,,,,,,,,,,,,,25583.35 ,,,,,,,,,,,,,,25583.35 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 ,智能化设计工作完成，提交全套智慧化设计施工图并经过甲方确认，经相关机构审查通过（如有）后15个工作日内请款，次月30日前付款,0.40 ,51166.70 ,51166.69 ,产值确认单,45895.00 ,51166.69 ,45895.00 ,51166.69 ,45895.00 ,51166.69 ,45929.00 ,0.00 ,,,,,,,,,,,,,,,,,,,,,,,,51166.69 ,,,,,,,,,,,,,,51166.69 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 ,提交工程量清单，并配合完成智能化工程招标后15个工作日内请款，次月30日前付款,0.20 ,25583.35 ,25583.35 ,预估,46078.00 ,,,,,25583.35 ,46111.00 ,0.00 ,,,,,,,,,,,,,,,,,,,,,,,,25583.35 ,,,,,,,,,,,,,,25583.35 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00 ,整体竣工验收完成，办理完成结算后15个工作日内请款，次月30日前付款,0.20 ,25583.35 ,0.00 ,,,,,,,0.00 ,,0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,华中,45838.00 ,西安高新区31亩项目,,越秀地产中西部区域西安璞悦云萃小区项目BIM咨询服务合同,CRCCRE-SJ-BIM-2025-003,BIM,HT-2025-020890,西安铁晟越合房地产开发有限公司,67071.08 ,4元/㎡，+2%保理贴息,273650.01 ,,,,,,,,30000.00 ,243650.01 ,,,,,,,1.00 ,合同签订,0.20 ,54730.00 ,53656.86 ,产值确认单,45859.00 ,53656.86 ,45859.00 ,53656.86 ,45859.00 ,53656.86 ,45894.00 ,0.00 ,,,,,,,,,,,,,,,,,,,53656.86 ,,,,,,,,,,,,,,53656.86 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 ,提交地下车库及地下室BIM模型且经过甲方确认后2个月内,0.30 ,82095.00 ,80485.30 ,产值确认单,45859.00 ,80485.30 ,45859.00 ,80485.30 ,45859.00 ,80485.30 ,45894.00 ,0.00 ,,,,,,,,,,,,,,,,,,,80485.30 ,,,,,,,,,,,,,,80485.30 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 ,提交地上BIM建模成果，经甲方审核确认后2个月内,0.20 ,54730.00 ,53656.86 ,预估,46052.00 ,,,,,53656.86 ,46052.00 ,0.00 ,,,,,,,,,,,,,,,,,,30000.00 ,23656.86 ,,,,,,,,,,,,,30000.00 ,23656.86 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00 ,乙方根据甲方优化后的施工图纸提交BIM咨询优化报告、完成BIM咨询范围的交底工作且经过甲方确认后2个月内,0.25 ,68412.50 ,68412.50 ,预估,46111.00 ,,,,,68412.50 ,46142.00 ,0.00 ,,,,,,,,,,,,,,,,,,,68412.50 ,,,,,,,,,,,,,,68412.50 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00 ,项目竣工验收合格，本合同办理完成结算后2个月内,0.05 ,13682.50 ,0.00 ,,,,,,,0.00 ,,0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,华中,43903.00 ,西安西派国际项目（明月府邸）（完成）,CRCCRE-DC-XM-2020-111,中国铁建明月府邸（推广名：西派国际）1号地块BIM技术全过程应用咨询服务合同,CRCCRE-SJ-XM-2019-005,BIM,,甲：中国铁建房地产集团有限公司 乙：西安中铁京泰房地产开发有限公司,BIM全过程按总建面146932.01㎡计算；建模总建面146932.01㎡；园区和小市政暂估20371㎡，户型精装暂估1000㎡,第一部分：BIM全过程咨询20元/㎡（其中17元/㎡项目公司承担，3元/㎡为集团补贴）      BIM建模地下室5元/㎡，小市政6元/㎡，户型精装150元/㎡,4077227.24 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4077227.24 ,0.00 ,0.00 ,,,0.00 ,0.00 ,1.00 ,合同签订后，三十个工作日内.总建筑面积*约定单价（17元/㎡）*50%,（17元/㎡）*50%,1248922.09 ,1248922.09 ,开票,43999.00 ,/,/,1248922.09 ,43999.00 ,1248922.09 ,44175.00 ,0.00 ,资金紧张,,甲方7月报资金计划，走久其付款最晚9月15日之前到账,,4077227.24 ,4077227.24 ,4077227.24 ,0.00 ,0.00 ,0.00 ,,,,,,,,,1248922.09 ,,,,,,,,,,,,,,1248922.09 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 ,丙方完成 BIM 实施准备阶段工作及施工图全专业BIM建模成果提交后，二十个工作日内，结算金额（17元/㎡）*50%,（17元/㎡）*50%,1248922.09 ,1248922.09 ,产值确认单,44410.00 ,1248922.09 ,44410.00 ,1248922.09 ,44411.00 ,1248922.09 ,44497.00 ,0.00 ,,,,,,,,,,,,,,,,,,,1248922.09 ,,,,,,,,,,,,,,1248922.09 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 ,丙方完成BIM施工方标准宣贯和BIM平台培训及施工阶段的 BIM 咨询工作，二十个工作日内。总建筑面积*约定单价（3元/㎡）*80%,（3元/㎡）*80%,352636.82 ,352636.82 ,产值确认单,45286.00 ,352636.82 ,45286.00 ,352636.82 ,45660.00 ,352636.82 ,45719.00 ,0.00 ,,,,,,,,,,,,,,,,,,,352636.82 ,,,,,,,,,,,,,,352636.82 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00 ,丙方完成合同约定所有内容，经甲、乙方确认后，二十个工作日内,（3元/㎡）*20%,88159.21 ,88159.21 ,产值确认单,45286.00 ,88159.21 ,45286.00 ,88159.21 ,45660.00 ,88159.21 ,45719.00 ,0.00 ,,,,,,,,,,,,,,,,,,,88159.21 ,,,,,,,,,,,,,,88159.21 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00 ,合同签订后，三十个工作日内，合同第二部分费用暂定总额50%,0.50 ,569293.52 ,569293.52 ,开票,43999.00 ,/,/,569293.52 ,43999.00 ,569293.52 ,44175.00 ,0.00 ,资金紧张,,甲方7月报资金计划，走久其付款最晚9月15日之前到账,,,,,,,,,,,,,,,,569293.52 ,,,,,,,,,,,,,,569293.52 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 ,丙方完成所有内容，经乙方确认后，二十个工作日内，剩余结算,0.50 ,569293.52 ,569293.52 ,产值确认单,44410.00 ,569293.52 ,44410.00 ,569293.52 ,44411.00 ,569293.52 ,44497.00 ,0.00 ,,,,,,,,,,,,,,,,,,,569293.52 ,,,,,,,,,,,,,,569293.52 ,,,,,,,,,,,,,,,,,,,,
20,物业,43892.00 ,"复兴路40号院职工家属区项目
(完成)",CRCCRE-DC-XM-2020-006,复兴路40号院职工家属区“三供一业”分离移交项目设计,CRCCRE-SJ-GC-2020-002,施工图,,中铁建物业管理有限公司,/,总投资额3%,750000.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,750000.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,0.00 ,0.00 ,1.00 ,本工程无预付款，设计费用在完成全部设计图纸并交予发包人后15天内支付合同总额的30%,0.30 ,225000.00 ,225000.00 ,开票,43983.00 ,/,/,225000.00 ,43983.00 ,225000.00 ,44119.00 ,0.00 ,已完成,,,,750000.00 ,750000.00 ,750000.00 ,0.00 ,0.00 ,0.00 ,,,,,,225000.00 ,,,,,,,,,,,,,,225000.00 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 ,在完成图纸外审无异议后15天内支付合同总额的60%,0.60 ,450000.00 ,450000.00 ,开票,44062.00 ,450000.00 ,44044.00 ,450000.00 ,44062.00 ,450000.00 ,44190.00 ,0.00 ,,,预计11月份付款,,,,,,,,,,,,,450000.00 ,,,,,,,,,,,,,,450000.00 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 ,在竣工验收无异议后15天内支付合同总额的10%,0.10 ,75000.00 ,75000.00 ,产值确认单,44379.00 ,75000.00 ,44379.00 ,75000.00 ,44383.00 ,75000.00 ,44558.00 ,0.00 ,,,,,,,,,,,,,,,,75000.00 ,,,,,,,,,,,,,,75000.00 ,,,,,,,,,,,,,,,,,,,,,,,
21,物业,43892.00 ,"玉泉路65号和19号院小区改造工程
(完成)",CRCCRE-DC-XM-2020-005,石景山玉泉路65号院和海淀区西四环中路19号院职工家属区小区改造工程合同,CRCCRE-SJ-GC-2020-003,施工图,,中铁建物业管理有限公司,/,总投资额3%,420000.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,420000.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,0.00 ,无,1.00 ,本工程无预付款，设计费用在完成全部设计图纸并交予发包人后15天内支付合同总额的30%,0.30 ,126000.00 ,126000.00 ,开票,44288.00 ,126000.00 ,44287.00 ,126000.00 ,44288.00 ,126000.00 ,44347.00 ,0.00 ,"中铁建设：24272.53元
铁五院：8784.65元
股份公司：92942.82元",,,,396648.44 ,396648.44 ,396648.44 ,23351.56 ,0.00 ,0.00 ,,,,,,126000.00 ,,,,,,,,,,,,,,126000.00 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 ,在完成图纸外审无异议后15天内支付合同总额的60%,0.60 ,252000.00 ,252000.00 ,产值确认单,44383.00 ,252000.00 ,44287.00 ,252000.00 ,44383.00 ,252000.00 ,44448.00 ,0.00 ,结算金额：396648.44元,,,,,,,,,,,,,,,252000.00 ,,,,,,,,,,,,,,252000.00 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 ,在竣工验收无异议后15天内支付合同总额的10%,0.10 ,42000.00 ,42000.00 ,产值确认单,44555.00 ,42000.00 ,44545.00 ,18648.44 ,45280.00 ,18648.44 ,45288.00 ,23351.56 ,,,,,,,,,,,,,,,,42000.00 ,,,,,,,,,,,,,,18648.44 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00 ,,,,-23351.56 ,产值确认单,45903.00 ,-23351.56 ,45903.00 ,,,0.00 ,,-23351.56 ,,,,,,,,,,,,,,,,-23351.56 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,物业,43784.00 ,"梧桐苑项目小市政管道改造工程
(完成)",/,建设工程设计合同(一)梧桐苑项目小市政管道改造工程,CRCCRE-SJ-GC-2019-002,施工图,,中铁建物业管理有限公司,/,单项目：42万元,420000.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,420000.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,0.00 ,无,1.00 ,合同签订后15日内,0.20 ,84000.00 ,84000.00 ,开票,43832.00 ,/,/,84000.00 ,43832.00 ,84000.00 ,43852.00 ,0.00 ,已完成,,一次性请款、开票至100%,,420000.00 ,420000.00 ,420000.00 ,0.00 ,0.00 ,0.00 ,,,,,,84000.00 ,,,,,,,,,,,,,,84000.00 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 ,施工图设计完成交付甲方并经甲方审查确认后15日内,0.75 ,315000.00 ,315000.00 ,开票,43832.00 ,/,/,315000.00 ,43832.00 ,315000.00 ,43852.00 ,0.00 ,,,,,,,,,,,,,,,,315000.00 ,,,,,,,,,,,,,,315000.00 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 ,竣工验收后15日内,0.05 ,21000.00 ,21000.00 ,开票,43832.00 ,/,/,21000.00 ,43832.00 ,21000.00 ,43852.00 ,0.00 ,,,,,,,,,,,,,,,,21000.00 ,,,,,,,,,,,,,,21000.00 ,,,,,,,,,,,,,,,,,,,,,,,
20,华中,44274.00 ,太原武宿机场片区,无,中铁房地产集团华中有限公司2020-2021年度强排方案设计战略合作协议,CRCCRE-SJ-CZ-2021-002,方案,,中铁房地产集团华中有限公司,"横河地块：1535306.50㎡
西温庄地块：
2685893.87㎡
策划定位报告：5074723.36㎡",/,1620000.00 ,0.00 ,0.00 ,0.00 ,1620000.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,0.00 ,0.00 ,1.00 ,"横河地块概念性规划及方案设计（简版）计容面积：1535306.50㎡
结算金额：34万",1.00 ,340000.00 ,1620000.00 ,产值确认单,44791.00 ,1620000.00 ,44791.00 ,980000.00 ,45083.00 ,980000.00 ,45132.00 ,640000.00 ,,,,,1620000.00 ,1620000.00 ,980000.00 ,0.00 ,0.00 ,640000.00 ,,,,1620000.00 ,,,,,,,,,,,,,,980000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 ,"西温庄地块概念性规划方案（简版）
计容面积：2685893.87㎡
结算金额：20万",1.00 ,200000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 ,"策划定位报告（简版）
计容面积：5074723.36㎡
结算金额：108万",1.00 ,1080000.00 ,,,,,,640000.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,华中,44834.00 ,"西派樘樾小区项目
（不审计）
（完成）",CRCCRE-DC-XM-2022-024,"西派樘樾小区项目架空层及公区精装修
方案及施工图设计合同",CRCCRE-SJ-XM-2022-031,方案+施工图,CRCCRE-HZ-XAGX-XAGXSLRJCMDK-KF.QQ.02.04-2022-002,西安铁晟房地产开发有限公司,/,/,1714653.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,1714653.00 ,0.00 ,预付款,签约，并由甲方发出设计任务指令、乙方提供同等金额保函,0.30 ,514395.90 ,514395.90 ,产值确认单,44879.00 ,514395.90 ,44879.00 ,1058628.25 ,44966.00 ,1058628.25 ,45002.00 ,,扣除1、40-52设计内容，扣除设计费469208元，最终合同总价：1245445元,,,,,1245445.00 ,1245445.00 ,1714653.00 ,,0.00 ,,,,,,,,,,,,,,514395.90 ,,,,,,,,,,,,,,1058628.25 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,方案设计,按甲方要求完成批量方案设计阶段最终成果并经甲方书面确认,0.30 ,514395.90 ,514395.90 ,产值确认单,44879.00 ,514395.90 ,44879.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514395.90 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,方案扩初,甲方书面确认电气点位图,0.25 ,428663.25 ,29836.45 ,产值确认单,44965.00 ,29836.45 ,44965.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29836.45 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,完成主要平、立面图，材料说明及概算，完成方案扩初设计阶段最终成果,,,0.00 ,,,398826.80 ,,,,0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,施工图,甲方书面确认施工图、材料样板、变异户型设计最终成果,0.12 ,205758.36 ,149453.40 ,产值确认单,45005.00 ,149453.40 ,45005.00 ,149453.40 ,45005.00 ,149453.40 ,45064.00 ,,产值收入外委,,,,,,,,,,,,,,,,,,,,,,,149453.40 ,,,,,,,,,,,,,,149453.40 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,施工现场服务、工程完成,室内装修施工完成，并确认完成全部图纸变更单，工程完工并验收合格办理结算,0.03 ,51439.59 ,37363.35 ,产值确认单,45783.00 ,37363.35 ,45783.00 ,37363.35 ,45784.00 ,37363.35 ,45821.00 ,,,,,,,,,,,,,,,,,,,,,,,,,37363.35 ,,,,,,,,,,,,,,37363.35 ,,,,,,,,,,,,,,,
22,外部,43396.00 ,"中铁十九局御水澜湾
（完成）",/,"中国铁建御水澜湾项目
建筑设计咨询服务合同",CRCCRE-SJ-ZX-2018-008,咨询,,中铁十九局集团（沈阳）房地产开发有限公司,334612.00 ,咨询：7元/㎡,2342284.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2342284.00 ,0.00 ,0.00 ,,,,0.00 ,0.00 ,1.00 ,合同签订后，甲方在提交全部设计资料给乙方后30个工作日内支付合同价款总额的20%给乙方,0.20 ,468456.80 ,468456.80 ,开票,43525.00 ,/,/,468456.80 ,43525.00 ,468456.80 ,43678.00 ,0.00 ,已完成 ,,,,2342284.00 ,2342284.00 ,2342284.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,468456.80 ,,,,,,,,,,,,,,468456.80 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 ,乙方完成方案阶段的设计咨询工作并经甲方认可，甲方支付合同价款总额的30%给乙方,0.30 ,702685.20 ,702685.20 ,开票,43739.00 ,/,/,702685.20 ,43739.00 ,702685.20 ,43800.00 ,0.00 ,,,,,,,,,,,,,,,,,,702685.20 ,,,,,,,,,,,,,,702685.20 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 ,乙方完成施工图阶段的设计咨询工作并经甲方认可，甲方支付合同价款总额的50%给乙方,0.50 ,1171142.00 ,1171142.00 ,开票,43990.00 ,/,/,1171142.00 ,43990.00 ,1171142.00 ,44018.00 ,0.00 ,,,7月已回款,,,,,,,,,,,,,,,1171142.00 ,,,,,,,,,,,,,,1171142.00 ,,,,,,,,,,,,,,,,,,,,,
