Year,区域,签订日期,项目名称,合同编号,类型,甲方名称,合同总金额,key
2022,华东,2022-11-02,上海松江中山街道C07-01地块项目（中国铁建·星樾云涧）,CRCCRE-SJ-XM-2022-039,立面设计+管理,上海京泽鑫房地产开发有限公司,18550000,527
2023,华东,2023-09-07,上海奉贤区西渡街道D-01-11区域地块项目（中国铁建熙语）,CRCCRE-SJ-XM-2023-027,建筑方案设计、建筑施工图设计、景观设计、精装设计、BIM技术应用、施工图优化咨询、专项设计（基坑支护、人防设计、海绵城市、绿色建筑、智能化设计、门窗栏杆幕墙等外立面设计、综合图及产品手册、标识设计等）,上海京泓润房地产开发有限公司,22932039.97,528
2023,华东,2023-11-21,上海闵行区华漕镇项目（花语前湾）,CRCCRE-SJ-XM-2023-062,设计总包,上海京闵房地产有限公司,28510000,529
2025,外部,2025-10-10,内蒙古国际会议中心项目,CRCCRE-SJ-BIM-2025-005,BIM智慧建造,北京城建精工钢结构工程有限公司,148500,530
2025,华东,2025-07-11,上海松江新城C03A-04地块项目,CRCCRE-SJ-XM-2025-018,设计总包,上海京涧房地产有限公司,19001085.24,531
2024,华东,2024-07-30,上海澄江路项目,"CRCCRE-SJ-TOD-2024-001
",TOD,上海广泾建设发展有限公司,750000,532
2021,华东,2021-11-19,苏州WG-50项目(苏州花语澜苑),CRCCRE-SJ-XM-2021-043,方案+管理+BIM,苏州京宏房地产开发有限公司,10300000,533
2023,外部,2023-10-26,阿美达赫兰企业学院大楼项目,CRCCRE-SJ-BIM-2023-019,BIM,中国铁建股份公司沙特分公司,105000,534
2023,外部,2023-11-13,三一全球科创中心项目,CRCCRE-SJ-BIM-2023-055,BIM智慧建造工作室,中建科工集团有限公司,496800,535
2024,外部,2024-11-25,三一全球科创中心项目,CRCCRE-SJ-BIM-2023-055-B1,BIM智慧建造工作室,中建科工集团有限公司,73508,536
2025,外部,2025-10-28,光大太原金碧天下项目,CRCCRE-SJ-SJ-2025-002,立面设计+咨询,太原恒颖房地产开发有限公司,845980.78,537
2024,外部,2024-03-06,珠海新澳半岛三期项目（澳屿花园项目）,CRCCRE-SJ-ZX-2024-001,咨询,南光濠江(珠海)房地产有限公司,489277.2,538
2025,外部,2025-07-19,济南遥墙机场项目,CRCCRE-SJ-BIM-2025-004,BIM智慧建造,德利九州物流自动化系统（北京）有限公司,446000,539
2025,外部,2025-07-24,济南遥墙机场项目,CRCCRE-SJ-BIM-2025-004-B1,BIM智慧建造,德利九州物流自动化系统（北京）有限公司,45900,540
2025,外部,2025-10-24,济南遥墙机场项目,CRCCRE-SJ-BIM-2025-004-B2,BIM智慧建造,德利九州物流自动化系统（北京）有限公司,79941.75,541
2024,城市运营,2024-05-15,北京房山文娱运营公司(7F-8F)精装项目,CRCCRE-SJ-JZ-2024-002,精装,中铁房地产集团城市运营管理有限公司,400000,542
2025,外部,2025-09-22,西安港务区代建108亩项目,CRCCRE-SJ-BIM-2025-007,BIM地下室管综建模,西安基准方中建筑设计有限公司,374078.32,543
2025,外部,2025-01-15,国际集团机电工程研究路线规划报告项目,CRCCRE-SJ-ZX-2024-002,咨询,中国铁建国际集团有限公司,60000,544
